plan_index,sample_id,family,state,grid,interval_class,candidate_paths,failure_class,maximum_accepted_intervals,component_contracts,plan_sha256,execution_status
34,EQ-PROGRESSION-L4-legal_critical,progression,legal_critical,L4,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,450b4d14ea64b6fb3de00774140d190f5f6964412705ec95a0dd732306f52e4d,static_contract_only_not_executed
35,EQ-PROGRESSION-L4-high_conductive,progression,high_conductive,L4,,,,4,step_bundle_v1|progression_final_state_v1|progression_scalar_v1|progression_snapshot_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,4a6969f52d3cb7a5bc9c3d9898727bf15196c720151dee7edd9f7157b65884ee,static_contract_only_not_executed
36,EQ-FAILURE-full_step-nonfinite,failure,,,,full_step,nonfinite,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,31a32cb7672c061d7d8e35b53cf8b5b82fe2b77ea911512ec044f38e060200d6,static_contract_only_not_executed
37,EQ-FAILURE-full_step-nonlinear_convergence,failure,,,,full_step,nonlinear_convergence,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,8245558b205bf902194a7f83ff55b29cc3c19b931bce9184f55b9e58db8eff84,static_contract_only_not_executed
38,EQ-FAILURE-full_step-lateral_audit,failure,,,,full_step,lateral_audit,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,3d3f3236c137fe2657103e21249c50498620c9fd416ce544ccc90deeca616b03,static_contract_only_not_executed
39,EQ-FAILURE-full_step-thermal_ledger,failure,,,,full_step,thermal_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,72c57efb9a360f4de1bae8f1ed8d56e6c7c5c4ba5f45937d117d7d345ce8a33a,static_contract_only_not_executed
40,EQ-FAILURE-full_step-circuit_ledger,failure,,,,full_step,circuit_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,1c014712be1fc6afd5f21c49df852c9ccf3d74425b93a66b64b9fca1c3476f0c,static_contract_only_not_executed
41,EQ-FAILURE-full_step-combined_ledger,failure,,,,full_step,combined_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,a82c15c1da202012318bd1c5a6bcd8b6e21edcf17b7ec7cc6da9bb2b3960e190,static_contract_only_not_executed
42,EQ-FAILURE-full_step-device_power_identity,failure,,,,full_step,device_power_identity,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,a88a95f735346c17dbd543c4b21ff6009ff669ab583ecede14d414a45fd9a0bd,static_contract_only_not_executed
43,EQ-FAILURE-first_half_step-nonfinite,failure,,,,first_half_step,nonfinite,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,7e640a65a198719403eff25ba497ef8bacd98e0ef3258c1adef7ad0b86a062ce,static_contract_only_not_executed
44,EQ-FAILURE-first_half_step-nonlinear_convergence,failure,,,,first_half_step,nonlinear_convergence,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,b596633fc6420294aa83d0bc1cb52ffb1921a749a2c43020034caaea654e5208,static_contract_only_not_executed
45,EQ-FAILURE-first_half_step-lateral_audit,failure,,,,first_half_step,lateral_audit,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,03adf6bb78f1ed1b564e4e304522c4922d209b7aebab5a03052b90577c7175d0,static_contract_only_not_executed
46,EQ-FAILURE-first_half_step-thermal_ledger,failure,,,,first_half_step,thermal_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,ef52f4526cf0226e6c3cb04fb538678c214ba38be072e5a3f68c4e872497421f,static_contract_only_not_executed
47,EQ-FAILURE-first_half_step-circuit_ledger,failure,,,,first_half_step,circuit_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,00c55b784d7a084d3a7d45d625956d700f3ff608eb37b3d90bb9ee4889d16dca,static_contract_only_not_executed
48,EQ-FAILURE-first_half_step-combined_ledger,failure,,,,first_half_step,combined_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,0b8e0d44c8c58bef1c83f498aaab23afc93fb5c38544f92df73a5cc26eb2fac1,static_contract_only_not_executed
49,EQ-FAILURE-first_half_step-device_power_identity,failure,,,,first_half_step,device_power_identity,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,1bb87884bc9fa498e2e5307cbb4c1a6eb0547790ee52b1dc69ac27cf33755b60,static_contract_only_not_executed
50,EQ-FAILURE-second_half_step-nonfinite,failure,,,,second_half_step,nonfinite,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,bf67c4e28803171d823cec333e6c543b7c6db2929930aca1a380ed88ff8a004c,static_contract_only_not_executed
51,EQ-FAILURE-second_half_step-nonlinear_convergence,failure,,,,second_half_step,nonlinear_convergence,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,7fa39e598decc1962269fdceaa05b0bf9f6f82e59c860a53c19eb4af2b5282af,static_contract_only_not_executed
52,EQ-FAILURE-second_half_step-lateral_audit,failure,,,,second_half_step,lateral_audit,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,96ece1ccb969aca1645b1532ec85fe20358a96acd7929db18f98fb2d7a989ae0,static_contract_only_not_executed
53,EQ-FAILURE-second_half_step-thermal_ledger,failure,,,,second_half_step,thermal_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,0332e56fbbbbd9f9cf8ce3be222da92e9fae34e604875f8f42231bb273e4118a,static_contract_only_not_executed
54,EQ-FAILURE-second_half_step-circuit_ledger,failure,,,,second_half_step,circuit_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,157ec5d2f6b6a9a917474661e1c1f4a45b23eb739777af98aa9e1c6fa18786e8,static_contract_only_not_executed
55,EQ-FAILURE-second_half_step-combined_ledger,failure,,,,second_half_step,combined_ledger,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,d333426e183c590f21fc0014b4596d03a10e06a62fecdae158bae4bc544afb57,static_contract_only_not_executed
56,EQ-FAILURE-second_half_step-device_power_identity,failure,,,,second_half_step,device_power_identity,,step_bundle_v1|embedded_attempt_diagnostics_v1|exact_topology_v1|telemetry_v1|structural_guards_v1,3ca31c1e172079cc14cb8e9582523360aa2683393f1ad7316861422da6916743,static_contract_only_not_executed
