sample_id,source_artifact,temperature_sha256,context_id,protocol_id,branch_label,ramp_direction,protocol_start_voltage_V,device_voltage_V,contact_overlap_nm,sink_amplitude,point_kind,sequence_index,split,fit_eligible,full_curve_test,headline_stability_test,stability_class,root_identifier_used
G0_heating_coarse_010,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,74f4109d53bf53de72be519a5de31c36f2f79570232f85102083b3c2264a8498,G0,G0_heating,heating,1.0,0.75,1.0,20.0,0.0,coarse,10,train,True,False,False,not_evaluated,False
G0_heating_coarse_011,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,c9637d2fe5201501f474b4269a8080b54969cf1645407b49d80d4fe9ce0c1646,G0,G0_heating,heating,1.0,0.75,1.025,20.0,0.0,coarse,11,train,True,False,False,not_evaluated,False
G0_heating_coarse_012,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,fb9080a11bb9f427ba911b011b7c014b91023f2101102ed8edaaad025d10a389,G0,G0_heating,heating,1.0,0.75,1.05,20.0,0.0,coarse,12,train,True,False,False,not_evaluated,False
G0_heating_coarse_013,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,3dd661f5b3b9987befebd489534a067fa7fafe4b319cfc41a821d4d8c9ded75b,G0,G0_heating,heating,1.0,0.75,1.075,20.0,0.0,coarse,13,train,True,False,False,not_evaluated,False
G0_heating_coarse_014,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,c313f9e489aafe1de049d783b84f31b57866c2f6b47ef206deec6a64155bc2f2,G0,G0_heating,heating,1.0,0.75,1.1,20.0,0.0,coarse,14,validation,False,False,False,not_evaluated,False
G0_heating_coarse_015,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,3ac7acb77297d4d3fffdd30b9962f7676646de7db6bce8cc7c85d9777dceb026,G0,G0_heating,heating,1.0,0.75,1.125,20.0,0.0,coarse,15,train,True,False,False,not_evaluated,False
G0_heating_coarse_016,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,d880cad19778e07753e701bf277cb73c72d37dc054ee2a02ae13d617a86e6acc,G0,G0_heating,heating,1.0,0.75,1.15,20.0,0.0,coarse,16,train,True,False,False,not_evaluated,False
G0_heating_coarse_017,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,193300ddf463de55162a1b67188bad4678a41c367f1c6cd34d87ff9eea8a02af,G0,G0_heating,heating,1.0,0.75,1.175,20.0,0.0,coarse,17,train,True,False,False,not_evaluated,False
G0_heating_coarse_018,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,b160f457883cc34b3d119021923b980766938b0b98b8626c2a77c87e97ca229e,G0,G0_heating,heating,1.0,0.75,1.2,20.0,0.0,coarse,18,train,True,False,False,not_evaluated,False
G0_heating_coarse_019,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,925d0b876c937dfd5c9a572ea2c5f1c565a1bcebca19ee11256a6d323b878e90,G0,G0_heating,heating,1.0,0.75,1.225,20.0,0.0,coarse,19,train,True,False,False,not_evaluated,False
G0_heating_coarse_020,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,a1a9ff156f6a2ca5be3b5c74a8204333e574f4d00b789c7c0c28a9872aedc8ad,G0,G0_heating,heating,1.0,0.75,1.25,20.0,0.0,coarse,20,train,True,False,False,not_evaluated,False
G0_heating_coarse_021,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,339eb299d93fcee36ef0c4902ab128af475edbf085ae2807be1e19650255d4e1,G0,G0_heating,heating,1.0,0.75,1.275,20.0,0.0,coarse,21,train,True,False,False,not_evaluated,False
G0_heating_coarse_022,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,3fa680a91ad4284ccdd2708914121fbed2361733bd84c798354bb0247e98feea,G0,G0_heating,heating,1.0,0.75,1.3,20.0,0.0,coarse,22,validation,False,False,False,not_evaluated,False
G0_heating_coarse_023,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,770657d0860efda1982a0b42eb1e90b58c427e205efa12adf00e8fd41f096160,G0,G0_heating,heating,1.0,0.75,1.3250000000000002,20.0,0.0,coarse,23,train,True,False,False,not_evaluated,False
G0_heating_coarse_024,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,6bbc75a527c5ea038d344447520ef165e3857930e77206d6a5b560caa81f9249,G0,G0_heating,heating,1.0,0.75,1.35,20.0,0.0,coarse,24,train,True,False,False,stable,False
G0_heating_coarse_025,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,095d960a13532facab38fd9024cb15ef951194b05ca85c5719f2f6c9d2e58b7a,G0,G0_heating,heating,1.0,0.75,1.375,20.0,0.0,coarse,25,train,True,False,False,not_evaluated,False
G0_heating_coarse_026,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,b4223660fbbf5f60d37e2ef873b9ea62f89d170ae0ceab795c6c51ac00b06225,G0,G0_heating,heating,1.0,0.75,1.4,20.0,0.0,coarse,26,train,True,False,False,not_evaluated,False
G0_heating_coarse_027,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,76d387ebc661d169c1883388052001678fb4240fd9a71142d4cdd98f1f321853,G0,G0_heating,heating,1.0,0.75,1.425,20.0,0.0,coarse,27,train,True,False,False,not_evaluated,False
G0_heating_coarse_028,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,356d5d2ce625e0465310eb141b39abc45d6331f620dba3d47d866be57c67c1a8,G0,G0_heating,heating,1.0,0.75,1.4500000000000002,20.0,0.0,coarse,28,train,True,False,False,not_evaluated,False
G0_heating_coarse_029,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,16c6ebdae52f295bdfd0d9d59eafbc56d1e5620f5d1c889ac78908c354ce3a06,G0,G0_heating,heating,1.0,0.75,1.475,20.0,0.0,coarse,29,train,True,False,False,not_evaluated,False
G0_heating_coarse_030,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,14e581d0aa37f21258252dff86ecbd71b626097afe7f3424039ac1cb8639d6c5,G0,G0_heating,heating,1.0,0.75,1.5,20.0,0.0,coarse,30,validation,False,False,False,not_evaluated,False
G0_heating_coarse_031,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,b77672792b255b50c9cf891520627a8ef5a5cfe2d644d20db58ed7991128920f,G0,G0_heating,heating,1.0,0.75,1.525,20.0,0.0,coarse,31,train,True,False,False,not_evaluated,False
G0_heating_coarse_032,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_heating.npz,5e7c73b005bcff3df15c8d9388df7e2bf9a933b403eba5315bd48704e2a8f48f,G0,G0_heating,heating,1.0,0.75,1.55,20.0,0.0,coarse,32,train,True,False,False,stable,False
G0_cooling_coarse_000,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,455caea3105759eb5086d36281aa5e5e279d2de38292f1f5bc627ed1322f934d,G0,G0_cooling,cooling,-1.0,1.55,1.55,20.0,0.0,coarse,0,train,True,False,False,stable,False
G0_cooling_coarse_001,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,106291035e384961b070ae763b0497b8ac83f75628d14b72357d014633f43acb,G0,G0_cooling,cooling,-1.0,1.55,1.5250000000000001,20.0,0.0,coarse,1,train,True,False,False,not_evaluated,False
G0_cooling_coarse_002,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,c2f5cd9e9ec48cf9f3a4468bc5ea6b7080b3d9b461e4b72d85429d120b1a18ca,G0,G0_cooling,cooling,-1.0,1.55,1.5,20.0,0.0,coarse,2,train,True,False,False,not_evaluated,False
G0_cooling_coarse_003,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,482daa6bc99e9be1d380082741285e5360ec4da4a03c7bbbb2d0074073b77efb,G0,G0_cooling,cooling,-1.0,1.55,1.475,20.0,0.0,coarse,3,train,True,False,False,not_evaluated,False
G0_cooling_coarse_004,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,cd04aaeab00156f1c0ca3ff84de8de5f3fbd90f45a04736af8f95eb1cf057d2f,G0,G0_cooling,cooling,-1.0,1.55,1.45,20.0,0.0,coarse,4,train,True,False,False,not_evaluated,False
G0_cooling_coarse_005,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,005f37c8856a3f9a1b5bb82a0bc1499858e201fdbc4ca1aba589c40b25d3d8e1,G0,G0_cooling,cooling,-1.0,1.55,1.425,20.0,0.0,coarse,5,train,True,False,False,not_evaluated,False
G0_cooling_coarse_006,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,8a582bbaf6ac3c315d83a77675f8bc2b248d2a5bab91d314c1bed2d20ea334e0,G0,G0_cooling,cooling,-1.0,1.55,1.4,20.0,0.0,coarse,6,validation,False,False,False,not_evaluated,False
G0_cooling_coarse_007,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,d9e3b305dc42158d41e108d3220fb044e4d6eeb89bf45c3c25cc34d1e8683c76,G0,G0_cooling,cooling,-1.0,1.55,1.375,20.0,0.0,coarse,7,train,True,False,False,not_evaluated,False
G0_cooling_coarse_008,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,e1327d9ff26bdb71eb86faa6ccdac9f66667121118481c3fb272f6f5a79100a2,G0,G0_cooling,cooling,-1.0,1.55,1.35,20.0,0.0,coarse,8,train,True,False,False,stable,False
G0_cooling_coarse_009,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,cc11f5028249e4e0c5aed06805bb4faca774c06e3dfb4e8b572e7fc901e0b14c,G0,G0_cooling,cooling,-1.0,1.55,1.325,20.0,0.0,coarse,9,train,True,False,False,not_evaluated,False
G0_cooling_coarse_010,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,da2d17716e1bd7523b8b20e2ee50584a3710f5f05309a0243bd10884c25df0ea,G0,G0_cooling,cooling,-1.0,1.55,1.3,20.0,0.0,coarse,10,train,True,False,False,not_evaluated,False
G0_cooling_coarse_011,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,6379a29c21f9361e881e843208286c6e85772919d8f547269f3c47113068f3d6,G0,G0_cooling,cooling,-1.0,1.55,1.275,20.0,0.0,coarse,11,train,True,False,False,not_evaluated,False
G0_cooling_coarse_012,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,acc91e0c85e3779f0f76588659cf3aa2691890e3dc472d3e39320878aae00103,G0,G0_cooling,cooling,-1.0,1.55,1.25,20.0,0.0,coarse,12,train,True,False,False,not_evaluated,False
G0_cooling_coarse_013,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,a2fefe02500d2dc01a7c4d1a644dbbc0a26f27b4cee0666daaf0a93b2bdd929f,G0,G0_cooling,cooling,-1.0,1.55,1.225,20.0,0.0,coarse,13,train,True,False,False,not_evaluated,False
G0_cooling_coarse_014,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,4b821e00664d27002a29a844086b2c57fbeac696a7ba126b042110f5e2d172af,G0,G0_cooling,cooling,-1.0,1.55,1.2,20.0,0.0,coarse,14,validation,False,False,False,not_evaluated,False
G0_cooling_coarse_015,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,c865b84029cb1c3604b908348a7c8e95ada823c0918c09513f3f684fa70c897e,G0,G0_cooling,cooling,-1.0,1.55,1.175,20.0,0.0,coarse,15,train,True,False,False,not_evaluated,False
G0_cooling_coarse_016,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,37bb1cfad03242ca9f01b017511b7f4a65717beaaf29a8c49a1ecb040c49a453,G0,G0_cooling,cooling,-1.0,1.55,1.15,20.0,0.0,coarse,16,train,True,False,False,not_evaluated,False
G0_cooling_coarse_017,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,a35c9dd8da65f5a732d43b47db39035dac7a1e61e0d5671693d5f665db991bed,G0,G0_cooling,cooling,-1.0,1.55,1.125,20.0,0.0,coarse,17,train,True,False,False,not_evaluated,False
G0_cooling_coarse_018,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,1ec26b84018088139881d297faec5f00bcf997c92feef2a6418374fb0e611474,G0,G0_cooling,cooling,-1.0,1.55,1.1,20.0,0.0,coarse,18,train,True,False,False,not_evaluated,False
G0_cooling_coarse_019,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,efbc50e4d5e542dac4f6109777b05de24444f9ab0bbb55562f8eae8bbcd19998,G0,G0_cooling,cooling,-1.0,1.55,1.075,20.0,0.0,coarse,19,train,True,False,False,not_evaluated,False
G0_cooling_coarse_020,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,188272ac6e0479c287dbf6ec70bedc8964c725ea288ea05f1f34e7258dbb6cc1,G0,G0_cooling,cooling,-1.0,1.55,1.05,20.0,0.0,coarse,20,train,True,False,False,not_evaluated,False
G0_cooling_coarse_021,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,0ee6a2195c978102a70d6e6817aa22939e493f18cc83043e4e13f959a1cfda46,G0,G0_cooling,cooling,-1.0,1.55,1.025,20.0,0.0,coarse,21,train,True,False,False,not_evaluated,False
G0_cooling_coarse_022,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,87b321cbbc5a1263cbaa4d44165a4b35c3affede048f70bc5e2ab1263a57811c,G0,G0_cooling,cooling,-1.0,1.55,1.0,20.0,0.0,coarse,22,validation,False,False,False,not_evaluated,False
G0_cooling_coarse_023,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,3d570ce3e862c20fd14ab885c06a2d08643dfe652e7117f38c52fcce966c9fd3,G0,G0_cooling,cooling,-1.0,1.55,0.975,20.0,0.0,coarse,23,train,True,False,False,not_evaluated,False
G0_cooling_coarse_024,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,5c4b29e8ed224c0e461b934c6dc0536d47349b861cee085948d12507212fe51f,G0,G0_cooling,cooling,-1.0,1.55,0.95,20.0,0.0,coarse,24,train,True,False,False,stable,False
G0_cooling_coarse_025,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,b62f1c7d206536b547d7378c57c336a09e33decb24cffdb84cbfc78efdd5a77a,G0,G0_cooling,cooling,-1.0,1.55,0.925,20.0,0.0,coarse,25,train,True,False,False,not_evaluated,False
G0_cooling_coarse_026,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,1dfea15a0812200fc15a4d029168080be5c0d66b199a5eecf4c960e0cb04aa8d,G0,G0_cooling,cooling,-1.0,1.55,0.9,20.0,0.0,coarse,26,train,True,False,False,not_evaluated,False
G0_cooling_coarse_027,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,1393218ed8518bc1d5672396d2b215774e3a246d1513bed75659e47866411f8f,G0,G0_cooling,cooling,-1.0,1.55,0.875,20.0,0.0,coarse,27,train,True,False,False,not_evaluated,False
G0_cooling_coarse_028,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,8fc3cfcd0318ca8f1bb9f338f1170fc9ed8147f03b2d9fe1b13183ea7b5ebfec,G0,G0_cooling,cooling,-1.0,1.55,0.85,20.0,0.0,coarse,28,train,True,False,False,not_evaluated,False
G0_cooling_coarse_029,E:/Python demo/PINN/data/processed/q2_m1_protocol_selected_equilibrium_manifold_mve_v1/Q2-M1-PROTOCOL-SELECTED-EQUILIBRIUM-MANIFOLD-MVE-20260810-V1/G0_cooling.npz,4fea6bbadf386854755d79bffe806ea3bd4facb6cd648c08c60eb7512fe814b0,G0,G0_cooling,cooling,-1.0,1.55,0.825,20.0,0.0,coarse,29,train,True,False,False,not_evaluated,False
