seed,model,stage,step,learning_rate,coefficient,total,finite,elapsed_s,gradient_norm,one_projection_temperature,one_projection_potential,one_projection_current,one_projection_fixed_point_defect,two_projection_temperature,two_projection_potential,two_projection_current,two_projection_fixed_point_defect
20260809,H,1,23,0.001,0.9200633996764741,0.9200633996764741,True,3.891620399983367,,,,,,,,,
20260809,H,1,24,0.001,0.9169006905205332,0.9169006905205332,True,3.8968351999938022,,,,,,,,,
20260809,H,1,25,0.001,0.9137710281014555,0.9137710281014555,True,3.901539699989371,,,,,,,,,
20260809,H,1,26,0.001,0.9106735241592177,0.9106735241592177,True,3.907168299978366,,,,,,,,,
20260809,H,1,27,0.001,0.9076077225384337,0.9076077225384337,True,3.912611099978676,,,,,,,,,
20260809,H,1,28,0.001,0.9045736005419533,0.9045736005419533,True,3.9175340999790933,,,,,,,,,
20260809,H,1,29,0.001,0.9015715695884777,0.9015715695884777,True,3.9222553999861702,,,,,,,,,
20260809,H,1,30,0.001,0.8986024736038681,0.8986024736038681,True,3.9264905999880284,,,,,,,,,
20260809,H,1,31,0.001,0.8956675841284065,0.8956675841284065,True,3.9314918000018224,,,,,,,,,
20260809,H,1,32,0.001,0.892768592306758,0.892768592306758,True,3.9367640999844298,,,,,,,,,
20260809,H,1,33,0.001,0.8899075986101124,0.8899075986101124,True,3.9420503999863286,,,,,,,,,
20260809,H,1,34,0.001,0.8870871010451897,0.8870871010451897,True,3.9470966999942902,,,,,,,,,
20260809,H,1,35,0.001,0.8843099819892085,0.8843099819892085,True,3.9523960999795236,,,,,,,,,
20260809,H,1,36,0.001,0.8815794929446831,0.8815794929446831,True,3.9582300999900326,,,,,,,,,
20260809,H,1,37,0.001,0.8788992357714882,0.8788992357714882,True,3.9631805999961216,,,,,,,,,
20260809,H,1,38,0.001,0.8762731386071902,0.8762731386071902,True,3.9692262999888044,,,,,,,,,
20260809,H,1,39,0.001,0.8737054246733995,0.8737054246733995,True,3.97577530000126,,,,,,,,,
20260809,H,1,40,0.001,0.8712005722388378,0.8712005722388378,True,3.981362499995157,,,,,,,,,
20260809,H,1,41,0.001,0.8687632641230947,0.8687632641230947,True,3.9875685999868438,,,,,,,,,
20260809,H,1,42,0.001,0.8663983254261672,0.8663983254261672,True,3.9941651999833994,,,,,,,,,
20260809,H,1,43,0.001,0.8641106487359722,0.8641106487359722,True,4.000753599975724,,,,,,,,,
20260809,H,1,44,0.001,0.8619051068395919,0.8619051068395919,True,4.006813299987698,,,,,,,,,
20260809,H,1,45,0.001,0.8597864538505452,0.8597864538505452,True,4.012778099975549,,,,,,,,,
20260809,H,1,46,0.001,0.8577592165905633,0.8577592165905633,True,4.018241299985675,,,,,,,,,
20260809,H,1,47,0.001,0.8558275789485374,0.8558275789485374,True,4.024107599980198,,,,,,,,,
20260809,H,1,48,0.001,0.8539952626765902,0.8539952626765902,True,4.032022899977164,,,,,,,,,
20260809,H,1,49,0.001,0.852265408605047,0.852265408605047,True,4.041718299995409,,,,,,,,,
20260809,H,1,50,0.001,0.8506404626228548,0.8506404626228548,True,4.051745999982813,,,,,,,,,
20260809,H,1,51,0.001,0.8491220711540969,0.8491220711540969,True,4.061496199981775,,,,,,,,,
20260809,H,1,52,0.001,0.8477109913782065,0.8477109913782065,True,4.069312099978561,,,,,,,,,
20260809,H,1,53,0.001,0.8464070219382834,0.8464070219382834,True,4.0766723999986425,,,,,,,,,
20260809,H,1,54,0.001,0.8452089599684269,0.8452089599684269,True,4.083864499989431,,,,,,,,,
20260809,H,1,55,0.001,0.8441145895892082,0.8441145895892082,True,4.0922022000013385,,,,,,,,,
20260809,H,1,56,0.001,0.8431207054470997,0.8431207054470997,True,4.100580500002252,,,,,,,,,
20260809,H,1,57,0.001,0.8422231724735999,0.8422231724735999,True,4.107120100001339,,,,,,,,,
20260809,H,1,58,0.001,0.8414170199974326,0.8414170199974326,True,4.116881599999033,,,,,,,,,
20260809,H,1,59,0.001,0.8406965650706055,0.8406965650706055,True,4.125174699991476,,,,,,,,,
20260809,H,1,60,0.001,0.8400555570573677,0.8400555570573677,True,4.132801100000506,,,,,,,,,
20260809,H,1,61,0.001,0.8394873339101981,0.8394873339101981,True,4.139276299974881,,,,,,,,,
20260809,H,1,62,0.001,0.8389849804852517,0.8389849804852517,True,4.1437001999875065,,,,,,,,,
20260809,H,1,63,0.001,0.838541480541104,0.838541480541104,True,4.150861799978884,,,,,,,,,
20260809,H,1,64,0.001,0.8381498561441661,0.8381498561441661,True,4.158395899983589,,,,,,,,,
20260809,H,1,65,0.001,0.8378032904685059,0.8378032904685059,True,4.166632299980847,,,,,,,,,
20260809,H,1,66,0.001,0.8374952320306812,0.8374952320306812,True,4.173412899981486,,,,,,,,,
20260809,H,1,67,0.001,0.8372194800635812,0.8372194800635812,True,4.181248899985803,,,,,,,,,
20260809,H,1,68,0.001,0.8369702519515628,0.8369702519515628,True,4.186375199991744,,,,,,,,,
20260809,H,1,69,0.001,0.8367422344132092,0.8367422344132092,True,4.193803100002697,,,,,,,,,
20260809,H,1,70,0.001,0.8365306204455614,0.8365306204455614,True,4.200079699978232,,,,,,,,,
20260809,H,1,71,0.001,0.836331133989683,0.836331133989683,True,4.206287799985148,,,,,,,,,
20260809,H,1,72,0.001,0.8361400439425498,0.8361400439425498,True,4.212698999996064,,,,,,,,,
20260809,H,1,73,0.001,0.8359541686598391,0.8359541686598391,True,4.219831599999452,,,,,,,,,
20260809,H,1,74,0.001,0.8357708716091202,0.8357708716091202,True,4.226632299978519,,,,,,,,,
20260809,H,1,75,0.001,0.8355880484562965,0.8355880484562965,True,4.233990699984133,,,,,,,,,
20260809,H,1,76,0.001,0.8354041056634236,0.8354041056634236,True,4.241994299984071,,,,,,,,,
20260809,H,1,77,0.001,0.8352179306571487,0.8352179306571487,True,4.250449699989986,,,,,,,,,
20260809,H,1,78,0.001,0.8350288537750558,0.8350288537750558,True,4.258344599977136,,,,,,,,,
20260809,H,1,79,0.001,0.8348366024806471,0.8348366024806471,True,4.266606899996987,,,,,,,,,
20260809,H,1,80,0.001,0.8346412487224814,0.8346412487224814,True,4.273732999979984,,,,,,,,,
20260809,H,1,81,0.001,0.8344431507598403,0.8344431507598403,True,4.2796721999766305,,,,,,,,,
20260809,H,1,82,0.001,0.8342428912340538,0.8342428912340538,True,4.285588699975051,,,,,,,,,
20260809,H,1,83,0.001,0.8340412136641598,0.8340412136641598,True,4.293669199978467,,,,,,,,,
20260809,H,1,84,0.001,0.8338389598148622,0.8338389598148622,True,4.299409500003094,,,,,,,,,
20260809,H,1,85,0.001,0.8336370104627023,0.8336370104627023,True,4.307007999974303,,,,,,,,,
20260809,H,1,86,0.001,0.8334362319418372,0.8334362319418372,True,4.315908599994145,,,,,,,,,
20260809,H,1,87,0.001,0.8332374304914625,0.8332374304914625,True,4.323430799995549,,,,,,,,,
20260809,H,1,88,0.001,0.8330413158955443,0.8330413158955443,True,4.329274399991846,,,,,,,,,
20260809,H,1,89,0.001,0.8328484752672717,0.8328484752672717,True,4.335888599976897,,,,,,,,,
20260809,H,1,90,0.001,0.8326593571578288,0.8326593571578288,True,4.343309299991233,,,,,,,,,
20260809,H,1,91,0.001,0.8324742655288301,0.8324742655288301,True,4.348875900002895,,,,,,,,,
20260809,H,1,92,0.001,0.8322933625745261,0.8322933625745261,True,4.3535646999953315,,,,,,,,,
20260809,H,1,93,0.001,0.8321166789520761,0.8321166789520761,True,4.357654399995226,,,,,,,,,
20260809,H,1,94,0.001,0.8319441296977127,0.8319441296977127,True,4.361729899974307,,,,,,,,,
20260809,H,1,95,0.001,0.8317755339799843,0.8317755339799843,True,4.365987500001211,,,,,,,,,
20260809,H,1,96,0.001,0.8316106368612182,0.8316106368612182,True,4.371139099996071,,,,,,,,,
20260809,H,1,97,0.001,0.8314491313863782,0.8314491313863782,True,4.3755798999918625,,,,,,,,,
20260809,H,1,98,0.001,0.8312906795672774,0.8312906795672774,True,4.379883699992206,,,,,,,,,
20260809,H,1,99,0.001,0.8311349311469517,0.8311349311469517,True,4.384954299981473,,,,,,,,,
20260809,H,1,100,0.001,0.8309815393789639,0.8309815393789639,True,4.390434799977811,,,,,,,,,
20260809,H,1,101,0.001,0.8308301734060886,0.8308301734060886,True,4.395732399978442,,,,,,,,,
20260809,H,1,102,0.001,0.8306805271432331,0.8306805271432331,True,4.400777499977266,,,,,,,,,
20260809,H,1,103,0.001,0.8305323248385054,0.8305323248385054,True,4.405375299975276,,,,,,,,,
20260809,H,1,104,0.001,0.830385323690096,0.830385323690096,True,4.409905399981653,,,,,,,,,
20260809,H,1,105,0.001,0.830239314029625,0.830239314029625,True,4.414608499995666,,,,,,,,,
20260809,H,1,106,0.001,0.8300941176468551,0.8300941176468551,True,4.419790699990699,,,,,,,,,
20260809,H,1,107,0.001,0.8299495848343298,0.8299495848343298,True,4.4248842999804765,,,,,,,,,
20260809,H,1,108,0.001,0.8298055906858234,0.8298055906858234,True,4.429790199996205,,,,,,,,,
20260809,H,1,109,0.001,0.8296620311037003,0.8296620311037003,True,4.434544199990341,,,,,,,,,
20260809,H,1,110,0.001,0.8295188188719586,0.8295188188719586,True,4.4393983999907505,,,,,,,,,
20260809,H,1,111,0.001,0.8293758800470807,0.8293758800470807,True,4.444457099976717,,,,,,,,,
20260809,H,1,112,0.001,0.8292331508189377,0.8292331508189377,True,4.449168699997244,,,,,,,,,
20260809,H,1,113,0.001,0.8290905749070154,0.8290905749070154,True,4.454217099992093,,,,,,,,,
20260809,H,1,114,0.001,0.828948101488463,0.828948101488463,True,4.459229300002335,,,,,,,,,
20260809,H,1,115,0.001,0.8288056836061896,0.8288056836061896,True,4.463831000000937,,,,,,,,,
20260809,H,1,116,0.001,0.8286632769772815,0.8286632769772815,True,4.468639599974267,,,,,,,,,
20260809,H,1,117,0.001,0.828520839112153,0.828520839112153,True,4.473672299995087,,,,,,,,,
20260809,H,1,118,0.001,0.8283783286593986,0.8283783286593986,True,4.4782878999831155,,,,,,,,,
20260809,H,1,119,0.001,0.828235704905782,0.828235704905782,True,4.482708099996671,,,,,,,,,
20260809,H,1,120,0.001,0.828092927380511,0.828092927380511,True,4.487349499977427,,,,,,,,,
20260809,H,1,121,0.001,0.827949955533575,0.827949955533575,True,4.492104299977655,,,,,,,,,
20260809,H,1,122,0.001,0.8278067484760072,0.8278067484760072,True,4.496560899977339,,,,,,,,,
20260809,H,1,123,0.001,0.827663264783093,0.827663264783093,True,4.500875600002473,,,,,,,,,
20260809,H,1,124,0.001,0.8275194623687346,0.8275194623687346,True,4.505719599983422,,,,,,,,,
20260809,H,1,125,0.001,0.8273752984404684,0.8273752984404684,True,4.510519499977818,,,,,,,,,
20260809,H,1,126,0.001,0.8272307295411356,0.8272307295411356,True,4.515587599977152,,,,,,,,,
20260809,H,1,127,0.001,0.8270857116766375,0.8270857116766375,True,4.52060689998325,,,,,,,,,
20260809,H,1,128,0.001,0.8269402005215337,0.8269402005215337,True,4.525489399995422,,,,,,,,,
20260809,H,1,129,0.001,0.8267941516872643,0.8267941516872643,True,4.530519699997967,,,,,,,,,
20260809,H,1,130,0.001,0.8266475210328738,0.8266475210328738,True,4.535690299991984,,,,,,,,,
20260809,H,1,131,0.001,0.8265002649959942,0.8265002649959942,True,4.54072439999436,,,,,,,,,
20260809,H,1,132,0.001,0.8263523409225896,0.8263523409225896,True,4.545476999977836,,,,,,,,,
20260809,H,1,133,0.001,0.8262037073770506,0.8262037073770506,True,4.550199099991005,,,,,,,,,
20260809,H,1,134,0.001,0.8260543244188033,0.8260543244188033,True,4.555269099975703,,,,,,,,,
20260809,H,1,135,0.001,0.8259041538366472,0.8259041538366472,True,4.560254799987888,,,,,,,,,
20260809,H,1,136,0.001,0.8257531593366672,0.8257531593366672,True,4.565245799982222,,,,,,,,,
20260809,H,1,137,0.001,0.8256013066831678,0.8256013066831678,True,4.57047799997963,,,,,,,,,
20260809,H,1,138,0.001,0.8254485637943778,0.8254485637943778,True,4.575352099986048,,,,,,,,,
20260809,H,1,139,0.001,0.8252949007957816,0.8252949007957816,True,4.5802081000001635,,,,,,,,,
20260809,H,1,140,0.001,0.8251402900341948,0.8251402900341948,True,4.585143099975539,,,,,,,,,
20260809,H,1,141,0.001,0.8249847060556199,0.8249847060556199,True,4.590085799980443,,,,,,,,,
20260809,H,1,142,0.001,0.8248281255499348,0.8248281255499348,True,4.595621499989647,,,,,,,,,
20260809,H,1,143,0.001,0.8246705272659282,0.8246705272659282,True,4.601732799987076,,,,,,,,,
20260809,H,1,144,0.001,0.8245118919012068,0.8245118919012068,True,4.607866999984253,,,,,,,,,
20260809,H,1,145,0.001,0.8243522019729308,0.8243522019729308,True,4.613706499978434,,,,,,,,,
20260809,H,1,146,0.001,0.8241914416769086,0.8241914416769086,True,4.619200099987211,,,,,,,,,
20260809,H,1,147,0.001,0.8240295967439041,0.8240295967439041,True,4.624498399993172,,,,,,,,,
20260809,H,1,148,0.001,0.8238666543026995,0.8238666543026995,True,4.62964169998304,,,,,,,,,
20260809,H,1,149,0.001,0.8237026027592081,0.8237026027592081,True,4.63481319998391,,,,,,,,,
20260809,H,1,150,0.001,0.8235374316996776,0.8235374316996776,True,4.640292700001737,,,,,,,,,
20260809,H,1,151,0.001,0.8233711318237618,0.8233711318237618,True,4.645292899978813,,,,,,,,,
20260809,H,1,152,0.001,0.8232036949102975,0.8232036949102975,True,4.650187799998093,,,,,,,,,
20260809,H,1,153,0.001,0.8230351138153228,0.8230351138153228,True,4.655914699978894,,,,,,,,,
20260809,H,1,154,0.001,0.8228653824986775,0.8228653824986775,True,4.661617499979911,,,,,,,,,
20260809,H,1,155,0.001,0.8226944960728868,0.8226944960728868,True,4.66667539998889,,,,,,,,,
20260809,H,1,156,0.001,0.822522450866235,0.822522450866235,True,4.672156899992842,,,,,,,,,
20260809,H,1,157,0.001,0.8223492444912296,0.8223492444912296,True,4.677682199981064,,,,,,,,,
20260809,H,1,158,0.001,0.8221748759100708,0.8221748759100708,True,4.683284500002628,,,,,,,,,
20260809,H,1,159,0.001,0.8219993454901199,0.8219993454901199,True,4.688928499992471,,,,,,,,,
20260809,H,1,160,0.001,0.8218226550444782,0.8218226550444782,True,4.694074300001375,,,,,,,,,
20260809,H,1,161,0.001,0.82164480785528,0.82164480785528,True,4.699217899993528,,,,,,,,,
20260809,H,1,162,0.001,0.8214658086797626,0.8214658086797626,True,4.705000899994047,,,,,,,,,
20260809,H,1,163,0.001,0.821285663741301,0.821285663741301,True,4.710242899978766,,,,,,,,,
20260809,H,1,164,0.001,0.8211043807090731,0.8211043807090731,True,4.715263299993239,,,,,,,,,
20260809,H,1,165,0.001,0.8209219686707149,0.8209219686707149,True,4.720598199986853,,,,,,,,,
20260809,H,1,166,0.001,0.8207384381022498,0.8207384381022498,True,4.725671799998963,,,,,,,,,
20260809,H,1,167,0.001,0.8205538008387913,0.8205538008387913,True,4.730578999995487,,,,,,,,,
20260809,H,1,168,0.001,0.8203680700482954,0.8203680700482954,True,4.734795899974415,,,,,,,,,
20260809,H,1,169,0.001,0.8201812602091908,0.8201812602091908,True,4.739869299985003,,,,,,,,,
20260809,H,1,170,0.001,0.8199933870913556,0.8199933870913556,True,4.744584300002316,,,,,,,,,
20260809,H,1,171,0.001,0.8198044677388381,0.8198044677388381,True,4.749588899983792,,,,,,,,,
20260809,H,1,172,0.001,0.8196145204520945,0.8196145204520945,True,4.754869899974437,,,,,,,,,
20260809,H,1,173,0.001,0.8194235647673926,0.8194235647673926,True,4.759976000001188,,,,,,,,,
20260809,H,1,174,0.001,0.8192316214313418,0.8192316214313418,True,4.765323999978136,,,,,,,,,
20260809,H,1,175,0.001,0.8190387123691576,0.8190387123691576,True,4.7706362000026274,,,,,,,,,
20260809,H,1,176,0.001,0.8188448606460567,0.8188448606460567,True,4.776358599978266,,,,,,,,,
20260809,H,1,177,0.001,0.8186500904219379,0.8186500904219379,True,4.7822699999960605,,,,,,,,,
20260809,H,1,178,0.001,0.8184544269001145,0.8184544269001145,True,4.788005499984138,,,,,,,,,
20260809,H,1,179,0.001,0.818257896271167,0.818257896271167,True,4.793712099984987,,,,,,,,,
20260809,H,1,180,0.001,0.8180605256530482,0.8180605256530482,True,4.799113799992483,,,,,,,,,
20260809,H,1,181,0.001,0.8178623430283363,0.8178623430283363,True,4.8048920999863185,,,,,,,,,
20260809,H,1,182,0.001,0.8176633771791618,0.8176633771791618,True,4.810172500001499,,,,,,,,,
20260809,H,1,183,0.001,0.8174636576198859,0.8174636576198859,True,4.816026599990437,,,,,,,,,
20260809,H,1,184,0.001,0.8172632145272005,0.8172632145272005,True,4.82233689998975,,,,,,,,,
20260809,H,1,185,0.001,0.81706207866705,0.81706207866705,True,4.827846000000136,,,,,,,,,
20260809,H,1,186,0.001,0.8168602813176448,0.8168602813176448,True,4.834154899988789,,,,,,,,,
20260809,H,1,187,0.001,0.8166578541878896,0.8166578541878896,True,4.840313900000183,,,,,,,,,
20260809,H,1,188,0.001,0.8164548293307207,0.8164548293307207,True,4.84611529999529,,,,,,,,,
20260809,H,1,189,0.001,0.8162512390510956,0.8162512390510956,True,4.8518598999944516,,,,,,,,,
20260809,H,1,190,0.001,0.8160471158086479,0.8160471158086479,True,4.857164699991699,,,,,,,,,
20260809,H,1,191,0.001,0.8158424921152493,0.8158424921152493,True,4.86289879999822,,,,,,,,,
20260809,H,1,192,0.001,0.8156374004278844,0.8156374004278844,True,4.868568699981552,,,,,,,,,
20260809,H,1,193,0.001,0.8154318730373311,0.8154318730373311,True,4.874639599991497,,,,,,,,,
20260809,H,1,194,0.001,0.8152259419531519,0.8152259419531519,True,4.88004920000094,,,,,,,,,
20260809,H,1,195,0.001,0.8150196387854748,0.8150196387854748,True,4.885923399997409,,,,,,,,,
20260809,H,1,196,0.001,0.8148129946239937,0.8148129946239937,True,4.891518599994015,,,,,,,,,
20260809,H,1,197,0.001,0.814606039914584,0.814606039914584,True,4.896757799986517,,,,,,,,,
20260809,H,1,198,0.001,0.8143988043339258,0.8143988043339258,True,4.902154499985045,,,,,,,,,
20260809,H,1,199,0.001,0.8141913166625581,0.8141913166625581,True,4.907483399991179,,,,,,,,,
20260809,H,1,200,0.001,0.8139836046568709,0.8139836046568709,True,4.9125809999823105,,,,,,,,,
20260809,H,1,201,0.001,0.8137756949206273,0.8137756949206273,True,4.917480399977649,,,,,,,,,
20260809,H,1,202,0.001,0.8135676127767317,0.8135676127767317,True,4.922885299980408,,,,,,,,,
20260809,H,1,203,0.001,0.8133593821400551,0.8133593821400551,True,4.927888499980327,,,,,,,,,
20260809,H,1,204,0.001,0.8131510253922172,0.8131510253922172,True,4.932839499990223,,,,,,,,,
20260809,H,1,205,0.001,0.812942563259282,0.812942563259282,True,4.9384820999985095,,,,,,,,,
20260809,H,1,206,0.001,0.812734014693348,0.812734014693348,True,4.94403029998648,,,,,,,,,
20260809,H,1,207,0.001,0.8125253967590098,0.8125253967590098,True,4.950434400001541,,,,,,,,,
20260809,H,1,208,0.001,0.8123167245256564,0.8123167245256564,True,4.957165599975269,,,,,,,,,
20260809,H,1,209,0.001,0.812108010966538,0.812108010966538,True,4.963503899984062,,,,,,,,,
20260809,H,1,210,0.001,0.8118992668655065,0.8118992668655065,True,4.970237000001362,,,,,,,,,
20260809,H,1,211,0.001,0.8116905007323136,0.8116905007323136,True,4.9767345000000205,,,,,,,,,
20260809,H,1,212,0.001,0.8114817187273436,0.8114817187273436,True,4.983032599993749,,,,,,,,,
20260809,H,1,213,0.001,0.8112729245966451,0.8112729245966451,True,4.989035399979912,,,,,,,,,
20260809,H,1,214,0.001,0.8110641196181263,0.8110641196181263,True,4.995318000001134,,,,,,,,,
20260809,H,1,215,0.001,0.8108553025597615,0.8108553025597615,True,5.001617299974896,,,,,,,,,
20260809,H,1,216,0.001,0.8106464696506205,0.8106464696506205,True,5.0079857999808155,,,,,,,,,
20260809,H,1,217,0.001,0.810437614565478,0.810437614565478,True,5.016753999982029,,,,,,,,,
20260809,H,1,218,0.001,0.8102287284236595,0.8102287284236595,True,5.020971099991584,,,,,,,,,
20260809,H,1,219,0.001,0.8100197998026765,0.8100197998026765,True,5.025712000002386,,,,,,,,,
20260809,H,1,220,0.001,0.8098108147670375,0.8098108147670375,True,5.031093700003112,,,,,,,,,
20260809,H,1,221,0.001,0.8096017569124695,0.8096017569124695,True,5.036041299987119,,,,,,,,,
20260809,H,1,222,0.001,0.8093926074255956,0.8093926074255956,True,5.042420799989486,,,,,,,,,
20260809,H,1,223,0.001,0.8091833451589341,0.8091833451589341,True,5.0458819999767,,,,,,,,,
20260809,H,1,224,0.001,0.8089739467208965,0.8089739467208965,True,5.051486099982867,,,,,,,,,
20260809,H,1,225,0.001,0.8087643865802846,0.8087643865802846,True,5.05798459998914,,,,,,,,,
20260809,H,1,226,0.001,0.8085546371846124,0.8085546371846124,True,5.064168799988693,,,,,,,,,
20260809,H,1,227,0.001,0.8083446690914201,0.8083446690914201,True,5.069791099987924,,,,,,,,,
20260809,H,1,228,0.001,0.8081344511115889,0.8081344511115889,True,5.074528899975121,,,,,,,,,
20260809,H,1,229,0.001,0.8079239504635354,0.8079239504635354,True,5.0793364999990445,,,,,,,,,
20260809,H,1,230,0.001,0.8077131329370322,0.8077131329370322,True,5.084296799992444,,,,,,,,,
20260809,H,1,231,0.001,0.8075019630652984,0.8075019630652984,True,5.088987299997825,,,,,,,,,
20260809,H,1,232,0.001,0.8072904043039238,0.8072904043039238,True,5.093736899987562,,,,,,,,,
20260809,H,1,233,0.001,0.8070784192151156,0.8070784192151156,True,5.0970858999935444,,,,,,,,,
20260809,H,1,234,0.001,0.8068659696557271,0.8068659696557271,True,5.1017360999831,,,,,,,,,
20260809,H,1,235,0.001,0.8066530169675076,0.8066530169675076,True,5.106167899997672,,,,,,,,,
20260809,H,1,236,0.001,0.8064395221680144,0.8064395221680144,True,5.1094398999994155,,,,,,,,,
20260809,H,1,237,0.001,0.8062254461406626,0.8062254461406626,True,5.112620899977628,,,,,,,,,
20260809,H,1,238,0.001,0.8060107498224278,0.8060107498224278,True,5.116143099992769,,,,,,,,,
20260809,H,1,239,0.001,0.8057953943877789,0.8057953943877789,True,5.120531399996253,,,,,,,,,
20260809,H,1,240,0.001,0.8055793414275062,0.8055793414275062,True,5.124761399987619,,,,,,,,,
20260809,H,1,241,0.001,0.8053625531211936,0.8053625531211936,True,5.129036199999973,,,,,,,,,
20260809,H,1,242,0.001,0.8051449924022038,0.8051449924022038,True,5.132987399992999,,,,,,,,,
20260809,H,1,243,0.001,0.804926623114161,0.804926623114161,True,5.1370243999990635,,,,,,,,,
20260809,H,1,244,0.001,0.8047074101580567,0.8047074101580567,True,5.140426400001161,,,,,,,,,
20260809,H,1,245,0.001,0.804487319629246,0.804487319629246,True,5.144883399974788,,,,,,,,,
20260809,H,1,246,0.001,0.8042663189437531,0.8042663189437531,True,5.149049699975876,,,,,,,,,
20260809,H,1,247,0.001,0.8040443769534648,0.8040443769534648,True,5.153006699983962,,,,,,,,,
20260809,H,1,248,0.001,0.8038214640499416,0.8038214640499416,True,5.1583829000010155,,,,,,,,,
20260809,H,1,249,0.001,0.8035975522567331,0.8035975522567331,True,5.1642150999978185,,,,,,,,,
20260809,H,1,250,0.001,0.8033726153102247,0.8033726153102247,True,5.170383999997284,,,,,,,,,
20260809,H,1,251,0.001,0.8031466287291863,0.8031466287291863,True,5.176191599981394,,,,,,,,,
20260809,H,1,252,0.001,0.8029195698733109,0.8029195698733109,True,5.181497099983972,,,,,,,,,
20260809,H,1,253,0.001,0.8026914179911526,0.8026914179911526,True,5.18651719999616,,,,,,,,,
20260809,H,1,254,0.001,0.802462154257966,0.802462154257966,True,5.191891900001792,,,,,,,,,
20260809,H,1,255,0.001,0.8022317618040358,0.8022317618040358,True,5.197744499979308,,,,,,,,,
20260809,H,1,256,0.001,0.802000225734159,0.802000225734159,True,5.202169199998025,,,,,,,,,
20260809,H,1,257,0.001,0.801767533138995,0.801767533138995,True,5.207771499990486,,,,,,,,,
20260809,H,1,258,0.001,0.8015336730990414,0.8015336730990414,True,5.213277999981074,,,,,,,,,
20260809,H,1,259,0.001,0.801298636682019,0.801298636682019,True,5.217585599981248,,,,,,,,,
20260809,H,1,260,0.001,0.8010624169344636,0.8010624169344636,True,5.22269269998651,,,,,,,,,
20260809,H,1,261,0.001,0.8008250088683179,0.8008250088683179,True,5.227757999993628,,,,,,,,,
20260809,H,1,262,0.001,0.8005864094433006,0.8005864094433006,True,5.233129200001713,,,,,,,,,
20260809,H,1,263,0.001,0.8003466175458078,0.8003466175458078,True,5.238694300001953,,,,,,,,,
20260809,H,1,264,0.001,0.8001056339650543,0.8001056339650543,True,5.243822599994019,,,,,,,,,
20260809,H,1,265,0.001,0.7998634613671219,0.7998634613671219,True,5.248879899998428,,,,,,,,,
20260809,H,1,266,0.001,0.7996201042675325,0.7996201042675325,True,5.254215599998133,,,,,,,,,
20260809,H,1,267,0.001,0.7993755690028836,0.7993755690028836,True,5.2594706999952905,,,,,,,,,
20260809,H,1,268,0.001,0.7991298637020516,0.7991298637020516,True,5.264352899976075,,,,,,,,,
20260809,H,1,269,0.001,0.798882998257374,0.798882998257374,True,5.268974799982971,,,,,,,,,
20260809,H,1,270,0.001,0.7986349842961735,0.7986349842961735,True,5.273387599998387,,,,,,,,,
