case_id,case_group,group_index,formal_status,evidence_type,audit_id,fixture_id,model_order,problem_id,protocol_id,region_id,response_type,spatial_level,time_divisor
P1-037,single_device_refinement,4,planned_not_executed,preregistered_case_manifest_only,,,,,zero_drive,,,4,2
P1-038,single_device_refinement,5,planned_not_executed,preregistered_case_manifest_only,,,,,zero_drive,,,4,4
P1-039,single_device_refinement,6,planned_not_executed,preregistered_case_manifest_only,,,,,quiescent_9V,,,1,4
P1-040,single_device_refinement,7,planned_not_executed,preregistered_case_manifest_only,,,,,quiescent_9V,,,2,4
P1-041,single_device_refinement,8,planned_not_executed,preregistered_case_manifest_only,,,,,quiescent_9V,,,4,1
P1-042,single_device_refinement,9,planned_not_executed,preregistered_case_manifest_only,,,,,quiescent_9V,,,4,2
P1-043,single_device_refinement,10,planned_not_executed,preregistered_case_manifest_only,,,,,quiescent_9V,,,4,4
P1-044,single_device_refinement,11,planned_not_executed,preregistered_case_manifest_only,,,,,nominal_12V,,,1,4
P1-045,single_device_refinement,12,planned_not_executed,preregistered_case_manifest_only,,,,,nominal_12V,,,2,4
P1-046,single_device_refinement,13,planned_not_executed,preregistered_case_manifest_only,,,,,nominal_12V,,,4,1
P1-047,single_device_refinement,14,planned_not_executed,preregistered_case_manifest_only,,,,,nominal_12V,,,4,2
P1-048,single_device_refinement,15,planned_not_executed,preregistered_case_manifest_only,,,,,nominal_12V,,,4,4
P1-049,single_device_refinement,16,planned_not_executed,preregistered_case_manifest_only,,,,,transition_probe_12p5V,,,1,4
P1-050,single_device_refinement,17,planned_not_executed,preregistered_case_manifest_only,,,,,transition_probe_12p5V,,,2,4
P1-051,single_device_refinement,18,planned_not_executed,preregistered_case_manifest_only,,,,,transition_probe_12p5V,,,4,1
P1-052,single_device_refinement,19,planned_not_executed,preregistered_case_manifest_only,,,,,transition_probe_12p5V,,,4,2
P1-053,single_device_refinement,20,planned_not_executed,preregistered_case_manifest_only,,,,,transition_probe_12p5V,,,4,4
P1-054,single_device_refinement,21,planned_not_executed,preregistered_case_manifest_only,,,,,high_bias_15V,,,1,4
P1-055,single_device_refinement,22,planned_not_executed,preregistered_case_manifest_only,,,,,high_bias_15V,,,2,4
P1-056,single_device_refinement,23,planned_not_executed,preregistered_case_manifest_only,,,,,high_bias_15V,,,4,1
P1-057,single_device_refinement,24,planned_not_executed,preregistered_case_manifest_only,,,,,high_bias_15V,,,4,2
P1-058,single_device_refinement,25,planned_not_executed,preregistered_case_manifest_only,,,,,high_bias_15V,,,4,4
P1-059,single_device_refinement,26,planned_not_executed,preregistered_case_manifest_only,,,,,pulse_12p5V,,,1,4
P1-060,single_device_refinement,27,planned_not_executed,preregistered_case_manifest_only,,,,,pulse_12p5V,,,2,4
P1-061,single_device_refinement,28,planned_not_executed,preregistered_case_manifest_only,,,,,pulse_12p5V,,,4,1
P1-062,single_device_refinement,29,planned_not_executed,preregistered_case_manifest_only,,,,,pulse_12p5V,,,4,2
P1-063,single_device_refinement,30,planned_not_executed,preregistered_case_manifest_only,,,,,pulse_12p5V,,,4,4
P1-064,topology_and_prior_audits,1,planned_not_executed,preregistered_case_manifest_only,nominal_region_mask,,,,nominal_12V,,,,
P1-065,topology_and_prior_audits,2,planned_not_executed,preregistered_case_manifest_only,nominal_region_mask,,,,transition_probe_12p5V,,,,
P1-066,topology_and_prior_audits,3,planned_not_executed,preregistered_case_manifest_only,nominal_region_mask,,,,high_bias_15V,,,,
P1-067,topology_and_prior_audits,4,planned_not_executed,preregistered_case_manifest_only,bare_vo2_vertical_reference,,,,nominal_12V,,,,
P1-068,topology_and_prior_audits,5,planned_not_executed,preregistered_case_manifest_only,bare_vo2_vertical_reference,,,,transition_probe_12p5V,,,,
P1-069,topology_and_prior_audits,6,planned_not_executed,preregistered_case_manifest_only,bare_vo2_vertical_reference,,,,high_bias_15V,,,,
P1-070,topology_and_prior_audits,7,planned_not_executed,preregistered_case_manifest_only,electrode_covered_vo2_vertical_reference,,,,nominal_12V,,,,
P1-071,topology_and_prior_audits,8,planned_not_executed,preregistered_case_manifest_only,electrode_covered_vo2_vertical_reference,,,,transition_probe_12p5V,,,,
P1-072,topology_and_prior_audits,9,planned_not_executed,preregistered_case_manifest_only,electrode_covered_vo2_vertical_reference,,,,high_bias_15V,,,,
P1-073,topology_and_prior_audits,10,planned_not_executed,preregistered_case_manifest_only,contact_overlap_10nm,,,,nominal_12V,,,,
P1-074,topology_and_prior_audits,11,planned_not_executed,preregistered_case_manifest_only,contact_overlap_10nm,,,,transition_probe_12p5V,,,,
P1-075,topology_and_prior_audits,12,planned_not_executed,preregistered_case_manifest_only,contact_overlap_10nm,,,,high_bias_15V,,,,
P1-076,topology_and_prior_audits,13,planned_not_executed,preregistered_case_manifest_only,contact_overlap_20nm,,,,nominal_12V,,,,
P1-077,topology_and_prior_audits,14,planned_not_executed,preregistered_case_manifest_only,contact_overlap_20nm,,,,transition_probe_12p5V,,,,
P1-078,topology_and_prior_audits,15,planned_not_executed,preregistered_case_manifest_only,contact_overlap_20nm,,,,high_bias_15V,,,,
P1-079,topology_and_prior_audits,16,planned_not_executed,preregistered_case_manifest_only,contact_overlap_30nm,,,,nominal_12V,,,,
P1-080,topology_and_prior_audits,17,planned_not_executed,preregistered_case_manifest_only,contact_overlap_30nm,,,,transition_probe_12p5V,,,,
P1-081,topology_and_prior_audits,18,planned_not_executed,preregistered_case_manifest_only,contact_overlap_30nm,,,,high_bias_15V,,,,
P1-082,decoupled_dual_copy_limits,1,planned_not_executed,preregistered_case_manifest_only,,A_only_drive,,,,,,,
P1-083,decoupled_dual_copy_limits,2,planned_not_executed,preregistered_case_manifest_only,,B_only_drive,,,,,,,
P1-084,decoupled_dual_copy_limits,3,planned_not_executed,preregistered_case_manifest_only,,equal_drive_symmetry,,,,,,,
P1-085,decoupled_dual_copy_limits,4,planned_not_executed,preregistered_case_manifest_only,,swapped_label_invariance,,,,,,,
P1-086,fail_closed_negative_controls,1,planned_not_executed,preregistered_case_manifest_only,,negative_capacity,,,,,,,
P1-087,fail_closed_negative_controls,2,planned_not_executed,preregistered_case_manifest_only,,negative_conductance,,,,,,,
P1-088,fail_closed_negative_controls,3,planned_not_executed,preregistered_case_manifest_only,,nonfinite_newton,,,,,,,
P1-089,fail_closed_negative_controls,4,planned_not_executed,preregistered_case_manifest_only,,ledger_tamper,,,,,,,
P1-090,fail_closed_negative_controls,5,planned_not_executed,preregistered_case_manifest_only,,coordinate_swap,,,,,,,
P1-091,analytic_limits,1,planned_not_executed,preregistered_case_manifest_only,,zero_drive_equilibrium,,,,,,,
P1-092,analytic_limits,2,planned_not_executed,preregistered_case_manifest_only,,uniform_conductivity_linear_potential,,,,,,,
P1-093,analytic_limits,3,planned_not_executed,preregistered_case_manifest_only,,zero_joule_cooling,,,,,,,
P1-094,analytic_limits,4,planned_not_executed,preregistered_case_manifest_only,,steady_thermal_resistance,,,,,,,
P1-095,analytic_limits,5,planned_not_executed,preregistered_case_manifest_only,,k_state_zero_input,,,,,,,
P1-096,analytic_limits,6,planned_not_executed,preregistered_case_manifest_only,,rc_open_device,,,,,,,
