evaluation_id,evaluation_group,evaluation_status,execution_unit_id,primary_evaluation_id,is_reused_evaluation,reuse_dependency_id,evaluation_stage,evaluation_stage_id,execution_unit_stage,execution_unit_stage_id,protocol_id,fixture_id,spatial_level,time_divisor,contact_overlap_m
P1V2-REF-zero_drive-S4T2,REF,planned_not_executed,TRJ-P1V2-REF-zero_drive-S4T2,P1V2-REF-zero_drive-S4T2,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,zero_drive,,4,2,
P1V2-REF-zero_drive-S4T4,REF,planned_not_executed,TRJ-P1V2-REF-zero_drive-S4T4,P1V2-REF-zero_drive-S4T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,zero_drive,,4,4,
P1V2-REF-quiescent_9V-S1T4,REF,planned_not_executed,TRJ-P1V2-REF-quiescent_9V-S1T4,P1V2-REF-quiescent_9V-S1T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,quiescent_9V,,1,4,
P1V2-REF-quiescent_9V-S2T4,REF,planned_not_executed,TRJ-P1V2-REF-quiescent_9V-S2T4,P1V2-REF-quiescent_9V-S2T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,quiescent_9V,,2,4,
P1V2-REF-quiescent_9V-S4T1,REF,planned_not_executed,TRJ-P1V2-REF-quiescent_9V-S4T1,P1V2-REF-quiescent_9V-S4T1,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,quiescent_9V,,4,1,
P1V2-REF-quiescent_9V-S4T2,REF,planned_not_executed,TRJ-P1V2-REF-quiescent_9V-S4T2,P1V2-REF-quiescent_9V-S4T2,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,quiescent_9V,,4,2,
P1V2-REF-quiescent_9V-S4T4,REF,planned_not_executed,TRJ-P1V2-REF-quiescent_9V-S4T4,P1V2-REF-quiescent_9V-S4T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,quiescent_9V,,4,4,
P1V2-REF-nominal_12V-S1T4,REF,planned_not_executed,TRJ-P1V2-REF-nominal_12V-S1T4,P1V2-REF-nominal_12V-S1T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,nominal_12V,,1,4,
P1V2-REF-nominal_12V-S2T4,REF,planned_not_executed,TRJ-P1V2-REF-nominal_12V-S2T4,P1V2-REF-nominal_12V-S2T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,nominal_12V,,2,4,
P1V2-REF-nominal_12V-S4T1,REF,planned_not_executed,TRJ-P1V2-REF-nominal_12V-S4T1,P1V2-REF-nominal_12V-S4T1,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,nominal_12V,,4,1,
P1V2-REF-nominal_12V-S4T2,REF,planned_not_executed,TRJ-P1V2-REF-nominal_12V-S4T2,P1V2-REF-nominal_12V-S4T2,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,nominal_12V,,4,2,
P1V2-REF-nominal_12V-S4T4,REF,planned_not_executed,TRJ-P1V2-REF-nominal_12V-S4T4,P1V2-REF-nominal_12V-S4T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,nominal_12V,,4,4,
P1V2-REF-transition_probe_12p5V-S1T4,REF,planned_not_executed,TRJ-P1V2-REF-transition_probe_12p5V-S1T4,P1V2-REF-transition_probe_12p5V-S1T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,transition_probe_12p5V,,1,4,
P1V2-REF-transition_probe_12p5V-S2T4,REF,planned_not_executed,TRJ-P1V2-REF-transition_probe_12p5V-S2T4,P1V2-REF-transition_probe_12p5V-S2T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,transition_probe_12p5V,,2,4,
P1V2-REF-transition_probe_12p5V-S4T1,REF,planned_not_executed,TRJ-P1V2-REF-transition_probe_12p5V-S4T1,P1V2-REF-transition_probe_12p5V-S4T1,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,transition_probe_12p5V,,4,1,
P1V2-REF-transition_probe_12p5V-S4T2,REF,planned_not_executed,TRJ-P1V2-REF-transition_probe_12p5V-S4T2,P1V2-REF-transition_probe_12p5V-S4T2,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,transition_probe_12p5V,,4,2,
P1V2-REF-transition_probe_12p5V-S4T4,REF,planned_not_executed,TRJ-P1V2-REF-transition_probe_12p5V-S4T4,P1V2-REF-transition_probe_12p5V-S4T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,transition_probe_12p5V,,4,4,
P1V2-REF-high_bias_15V-S1T4,REF,planned_not_executed,TRJ-P1V2-REF-high_bias_15V-S1T4,P1V2-REF-high_bias_15V-S1T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,high_bias_15V,,1,4,
P1V2-REF-high_bias_15V-S2T4,REF,planned_not_executed,TRJ-P1V2-REF-high_bias_15V-S2T4,P1V2-REF-high_bias_15V-S2T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,high_bias_15V,,2,4,
P1V2-REF-high_bias_15V-S4T1,REF,planned_not_executed,TRJ-P1V2-REF-high_bias_15V-S4T1,P1V2-REF-high_bias_15V-S4T1,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,high_bias_15V,,4,1,
P1V2-REF-high_bias_15V-S4T2,REF,planned_not_executed,TRJ-P1V2-REF-high_bias_15V-S4T2,P1V2-REF-high_bias_15V-S4T2,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,high_bias_15V,,4,2,
P1V2-REF-high_bias_15V-S4T4,REF,planned_not_executed,TRJ-P1V2-REF-high_bias_15V-S4T4,P1V2-REF-high_bias_15V-S4T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,high_bias_15V,,4,4,
P1V2-REF-pulse_12p5V-S1T4,REF,planned_not_executed,TRJ-P1V2-REF-pulse_12p5V-S1T4,P1V2-REF-pulse_12p5V-S1T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,pulse_12p5V,,1,4,
P1V2-REF-pulse_12p5V-S2T4,REF,planned_not_executed,TRJ-P1V2-REF-pulse_12p5V-S2T4,P1V2-REF-pulse_12p5V-S2T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,pulse_12p5V,,2,4,
P1V2-REF-pulse_12p5V-S4T1,REF,planned_not_executed,TRJ-P1V2-REF-pulse_12p5V-S4T1,P1V2-REF-pulse_12p5V-S4T1,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,pulse_12p5V,,4,1,
P1V2-REF-pulse_12p5V-S4T2,REF,planned_not_executed,TRJ-P1V2-REF-pulse_12p5V-S4T2,P1V2-REF-pulse_12p5V-S4T2,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,pulse_12p5V,,4,2,
P1V2-REF-pulse_12p5V-S4T4,REF,planned_not_executed,TRJ-P1V2-REF-pulse_12p5V-S4T4,P1V2-REF-pulse_12p5V-S4T4,false,,5,REF_independent_refinement_trajectories,5,REF_independent_refinement_trajectories,pulse_12p5V,,4,4,
P1V2-TOP-O10-nominal_12V,TOP,planned_not_executed,TRJ-P1V2-TOP-O10-nominal_12V,P1V2-TOP-O10-nominal_12V,false,,7,TOP_unique_overlap_trajectories_then_reused_evaluations,7,TOP_unique_overlap_trajectories_then_reused_evaluations,nominal_12V,,4,4,1e-08
P1V2-TOP-O10-transition_probe_12p5V,TOP,planned_not_executed,TRJ-P1V2-TOP-O10-transition_probe_12p5V,P1V2-TOP-O10-transition_probe_12p5V,false,,7,TOP_unique_overlap_trajectories_then_reused_evaluations,7,TOP_unique_overlap_trajectories_then_reused_evaluations,transition_probe_12p5V,,4,4,1e-08
P1V2-TOP-O10-high_bias_15V,TOP,planned_not_executed,TRJ-P1V2-TOP-O10-high_bias_15V,P1V2-TOP-O10-high_bias_15V,false,,7,TOP_unique_overlap_trajectories_then_reused_evaluations,7,TOP_unique_overlap_trajectories_then_reused_evaluations,high_bias_15V,,4,4,1e-08
P1V2-TOP-O20-nominal_12V,TOP,planned_not_executed,TRJ-P1V2-REF-nominal_12V-S4T4,P1V2-REF-nominal_12V-S4T4,true,P1V2-REF-nominal_12V-S4T4,7,TOP_unique_overlap_trajectories_then_reused_evaluations,5,REF_independent_refinement_trajectories,nominal_12V,,4,4,2e-08
P1V2-TOP-O20-transition_probe_12p5V,TOP,planned_not_executed,TRJ-P1V2-REF-transition_probe_12p5V-S4T4,P1V2-REF-transition_probe_12p5V-S4T4,true,P1V2-REF-transition_probe_12p5V-S4T4,7,TOP_unique_overlap_trajectories_then_reused_evaluations,5,REF_independent_refinement_trajectories,transition_probe_12p5V,,4,4,2e-08
P1V2-TOP-O20-high_bias_15V,TOP,planned_not_executed,TRJ-P1V2-REF-high_bias_15V-S4T4,P1V2-REF-high_bias_15V-S4T4,true,P1V2-REF-high_bias_15V-S4T4,7,TOP_unique_overlap_trajectories_then_reused_evaluations,5,REF_independent_refinement_trajectories,high_bias_15V,,4,4,2e-08
P1V2-TOP-O30-nominal_12V,TOP,planned_not_executed,TRJ-P1V2-TOP-O30-nominal_12V,P1V2-TOP-O30-nominal_12V,false,,7,TOP_unique_overlap_trajectories_then_reused_evaluations,7,TOP_unique_overlap_trajectories_then_reused_evaluations,nominal_12V,,4,4,2.9999999999999997e-08
P1V2-TOP-O30-transition_probe_12p5V,TOP,planned_not_executed,TRJ-P1V2-TOP-O30-transition_probe_12p5V,P1V2-TOP-O30-transition_probe_12p5V,false,,7,TOP_unique_overlap_trajectories_then_reused_evaluations,7,TOP_unique_overlap_trajectories_then_reused_evaluations,transition_probe_12p5V,,4,4,2.9999999999999997e-08
P1V2-TOP-O30-high_bias_15V,TOP,planned_not_executed,TRJ-P1V2-TOP-O30-high_bias_15V,P1V2-TOP-O30-high_bias_15V,false,,7,TOP_unique_overlap_trajectories_then_reused_evaluations,7,TOP_unique_overlap_trajectories_then_reused_evaluations,high_bias_15V,,4,4,2.9999999999999997e-08
P1V2-DUAL0-A_only_drive,DUAL0,planned_not_executed,TRJ-P1V2-DUAL0-A_only_drive,P1V2-DUAL0-A_only_drive,false,,6,DUAL0_zero_coupling_limits,6,DUAL0_zero_coupling_limits,,A_only_drive,,,
P1V2-DUAL0-B_only_drive,DUAL0,planned_not_executed,TRJ-P1V2-DUAL0-B_only_drive,P1V2-DUAL0-B_only_drive,false,,6,DUAL0_zero_coupling_limits,6,DUAL0_zero_coupling_limits,,B_only_drive,,,
P1V2-DUAL0-equal_drive_symmetry,DUAL0,planned_not_executed,TRJ-P1V2-DUAL0-equal_drive_symmetry,P1V2-DUAL0-equal_drive_symmetry,false,,6,DUAL0_zero_coupling_limits,6,DUAL0_zero_coupling_limits,,equal_drive_symmetry,,,
P1V2-DUAL0-swapped_label_invariance,DUAL0,planned_not_executed,TRJ-P1V2-DUAL0-swapped_label_invariance,P1V2-DUAL0-swapped_label_invariance,false,,6,DUAL0_zero_coupling_limits,6,DUAL0_zero_coupling_limits,,swapped_label_invariance,,,
P1V2-FAIL-negative_effective_capacity,FAIL,planned_not_executed,TRJ-P1V2-FAIL-negative_effective_capacity,P1V2-FAIL-negative_effective_capacity,false,,2,FAIL_fail_closed_controls,2,FAIL_fail_closed_controls,,negative_effective_capacity,,,
P1V2-FAIL-negative_vertical_conductance,FAIL,planned_not_executed,TRJ-P1V2-FAIL-negative_vertical_conductance,P1V2-FAIL-negative_vertical_conductance,false,,2,FAIL_fail_closed_controls,2,FAIL_fail_closed_controls,,negative_vertical_conductance,,,
P1V2-FAIL-nonfinite_newton,FAIL,planned_not_executed,TRJ-P1V2-FAIL-nonfinite_newton,P1V2-FAIL-nonfinite_newton,false,,2,FAIL_fail_closed_controls,2,FAIL_fail_closed_controls,,nonfinite_newton,,,
P1V2-FAIL-ledger_tamper,FAIL,planned_not_executed,TRJ-P1V2-FAIL-ledger_tamper,P1V2-FAIL-ledger_tamper,false,,2,FAIL_fail_closed_controls,2,FAIL_fail_closed_controls,,ledger_tamper,,,
P1V2-FAIL-coordinate_swap,FAIL,planned_not_executed,TRJ-P1V2-FAIL-coordinate_swap,P1V2-FAIL-coordinate_swap,false,,2,FAIL_fail_closed_controls,2,FAIL_fail_closed_controls,,coordinate_swap,,,
P1V2-LIM-zero_drive_equilibrium,LIM,planned_not_executed,TRJ-P1V2-LIM-zero_drive_equilibrium,P1V2-LIM-zero_drive_equilibrium,false,,4,LIM_analytic_and_zero_input_foundations,4,LIM_analytic_and_zero_input_foundations,,zero_drive_equilibrium,,,
P1V2-LIM-uniform_conductivity_linear_potential,LIM,planned_not_executed,TRJ-P1V2-LIM-uniform_conductivity_linear_potential,P1V2-LIM-uniform_conductivity_linear_potential,false,,4,LIM_analytic_and_zero_input_foundations,4,LIM_analytic_and_zero_input_foundations,,uniform_conductivity_linear_potential,,,
P1V2-LIM-zero_joule_cooling,LIM,planned_not_executed,TRJ-P1V2-LIM-zero_joule_cooling,P1V2-LIM-zero_joule_cooling,false,,4,LIM_analytic_and_zero_input_foundations,4,LIM_analytic_and_zero_input_foundations,,zero_joule_cooling,,,
P1V2-LIM-steady_thermal_resistance,LIM,planned_not_executed,TRJ-P1V2-LIM-steady_thermal_resistance,P1V2-LIM-steady_thermal_resistance,false,,4,LIM_analytic_and_zero_input_foundations,4,LIM_analytic_and_zero_input_foundations,,steady_thermal_resistance,,,
P1V2-LIM-local_single_cell_backward_euler,LIM,planned_not_executed,TRJ-P1V2-LIM-local_single_cell_backward_euler,P1V2-LIM-local_single_cell_backward_euler,false,,4,LIM_analytic_and_zero_input_foundations,4,LIM_analytic_and_zero_input_foundations,,local_single_cell_backward_euler,,,
P1V2-LIM-rc_open_device,LIM,planned_not_executed,TRJ-P1V2-LIM-rc_open_device,P1V2-LIM-rc_open_device,false,,4,LIM_analytic_and_zero_input_foundations,4,LIM_analytic_and_zero_input_foundations,,rc_open_device,,,
