path,base_path,file_type,size_bytes,sha256,last_git_commit,referenced_by_other_files,reference_count,reference_check,route,lifecycle,frozen_evidence,unique_information,disposition,disposition_reason,replacement,recoverable_from_git
configs/gamma_sub_constrained_inversion.yaml,,yaml,1453,B991738BCFE1E792A5C3C44F4CC782229DD6983E7FC2F057DE0C987C5004CE8C,35948ad830410f87dd384ccaedf95c4a410deceb,yes,16,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_evidence_lock.yaml,,yaml,16804,136C7431CA97C7D1864667033D917CB8EC54BF49A1C7F2C216DF824D4DCD205E,f14c0680dd7a8a0f5c2fe1738587edbb4502eafd,yes,10,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_joint_inversion_boundary.yaml,,yaml,1147,1C24495207A52BF6ED88FB579DBC4233974C8899701648989C23CFFBB76D0A17,2a99410495cbd353b89545f47e69bd6f92848e24,yes,6,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_multi_protocol_recoverability.yaml,,yaml,1583,371A1D5452169B7E8DB97DA32D5F3C11CFEBE9035969DFC909160124E7D074FD,2a99410495cbd353b89545f47e69bd6f92848e24,yes,8,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_observability_augmented.yaml,,yaml,1377,1FEE999C8E76003BE21E29BECF9745BF31F1659B6164DBC151B6B2BD51933A5F,c3e2c468b22a90ba5451c110cbe6d122ddf52427,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_protocol_actual_inversion_validation.yaml,,yaml,870,EC89B5B6A49CD2289EC4B0BF5BF333EBDA9BC009F88AC1415217C765BD9F973B,1f4207764fd09860d6ed50935a7f31389ba33837,yes,7,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_protocol_observability_design.yaml,,yaml,1355,7022F688623B65A3342AA5A02440832BB95BA63D9C2FCD85BE2625048EA3F4F7,2a99410495cbd353b89545f47e69bd6f92848e24,yes,6,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_recoverability_phase_diagram.yaml,,yaml,763,78C0C2F3FF9ADBF30AE93EEF4FCD80C12090BA99287DF94029BE11DAF2EBBDBF,1f4207764fd09860d6ed50935a7f31389ba33837,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_response_surface_anchor_verification.yaml,,yaml,1111,BC22E8F2FA8B94BAAB20E3C2D5AA4072C71A80F58CD7413FBF01F5493ADA3959,8f160a9c4c23256b5f978710bb63dcb739c78447,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_scis_v1.yaml,,yaml,3130,9B0DE37172E7CFA3F29F7FD1512173845BA9F243EC56119BD60AD68DC9028817,189445a2df5969a9428cdd035a3a9be0cc5f81af,yes,1,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_sequential_protocol_design.yaml,,yaml,1588,55292FE502155DA8BBC0744EB41AFCDD925AB0F36652A3500E6E85BB1565E1DA,8f160a9c4c23256b5f978710bb63dcb739c78447,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_simulator_backed_sequential_protocol_validation.yaml,,yaml,2369,5C027A108F4DBB37D01EF0BB386D815E1CFB7217FC5BF84E9E7ED7D17DC5E336,b3eb8dae891d319743e0ccc22dc6025ef0370e0d,yes,4,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_statistical_robustness.yaml,,yaml,633,791A18C50D1706F737112339F04BA0CEBB3C6962708DB93C2CDD544F115E8E3D,1f4207764fd09860d6ed50935a7f31389ba33837,yes,8,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_temperature_anchor_placement.yaml,,yaml,921,AC20ECB6AEF42993879ACDDEAF2F08BA3E782F82DCC79C6232999C8B6B489155,0a298cc59c559b7f249b4caa7201989d739c5fbd,yes,4,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_calibration_necessity.yaml,,yaml,1116,EAE19C19E5D27EFE3EB4DF572ADB3C17A2CDBAD9030EEBEEFCE3E844428FD3FA,b3eb8dae891d319743e0ccc22dc6025ef0370e0d,yes,4,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_calibration_tolerance_sweep.yaml,,yaml,844,6BC5D1510F1D047EDEEB25AA301EE262190AE25F304F0DFC81B04ADF90F3A31F,19988e0d60a53a15b2ab27b43b82ca226a6da3e8,yes,8,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_calibration_workflow.yaml,,yaml,1720,303EEA523A74E6775DF70147257FF6E5C45E34A9E1207757875E9F438072FBB5,922a9a624401f955553db3e17e0bd9b127fb273b,yes,4,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_confounding_phase_map.yaml,,yaml,1065,51F4A3E52A5688022A2AE21E0C79B8C0F1D59A42A8D3DBDD37218CBEAB8923CE,f4a441efa4061f6cad19b5e160c30efa831861ed,yes,6,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_dense_profile_likelihood.yaml,,yaml,700,A9BDB48053046F8D6CAB87141259097BF54389219D959DD584FE017A1EAA2A5F,1f4207764fd09860d6ed50935a7f31389ba33837,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_prior_width_sweep.yaml,,yaml,925,201FEF90AF351EEE8658CE651D9B4384FE3938A662F5677C09BD3F1E54443D85,0a298cc59c559b7f249b4caa7201989d739c5fbd,yes,4,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_profile_likelihood.yaml,,yaml,832,E48AC12E34301255BE948B4498B82C3DE65426E799C943F179B6D75A9714E816,2a99410495cbd353b89545f47e69bd6f92848e24,yes,6,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_tsw_tolerance_ode_spotcheck.yaml,,yaml,1262,7BFE6BCEB8E4230616533F1BD3FE6612BFE4EF8883BC20B6E13CCC193AF416E1,daafc252ced0e3cf4888fd37c599669382560735,yes,11,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gamma_sub_weighted_protocol_objective.yaml,,yaml,1056,4BC5BE6CBE96993AE3CFA651B3B1D16B1766486CEA64C0D4948493590279CBC1,1f4207764fd09860d6ed50935a7f31389ba33837,yes,5,exact_repository_path,historical_1d_or_inverse,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/geo2p5d_stage.yaml,,yaml,2649,1CD33ABE8790D30FB348CFD089D1AB7A830F37FED5DAB62480DA38FE778013B4,UNCOMMITTED_PHASE0,yes,9,exact_repository_path,phase1_2p5d_reference,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",configs/geo2p5d_stage.yaml,after_commit
configs/geophase_phase1_2p5d_reference.yaml,configs/geophase_e0_2p5d_reference.yaml,yaml,9114,F354D70440D3B5767D073DC4FC0EF6786AA4F39321D9017C0662893B8BDE2578,36cbc020869ca483ed1e84eb0326cee11618891c,yes,10,exact_repository_path,phase1_2p5d_reference,CURRENT,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,UPDATE,"Created, renamed, or updated for the Phase 0 authority and Phase 1 route.",configs/geophase_phase1_2p5d_reference.yaml,yes
configs/gt_quasi_2d_phase_transition_preflight.yaml,,yaml,773,8F1B8704688ABBEC99D1D94B42B80D373FF6CFC10AD88C08A426BF91C4D092E2,daafc252ced0e3cf4888fd37c599669382560735,yes,3,exact_repository_path,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gt_v1.yaml,,yaml,395,2856B27E83256E3B873D126091CB880D8517D7AE5FD014893AC86D01A03E1204,b876e19c7f689ad9673feafea87b40494228f282,no,0,exact_path_and_unique_basename_checked,shared_research_infrastructure,EVERGREEN_OR_REUSABLE,no,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,KEEP_EVERGREEN,"Retained evidence, implementation, test, provenance, or reusable project asset.",,yes
configs/gt_v1_acceptance_ltp_ltd.yaml,,yaml,1480,F1F71F21F1D0D27532EEAD23A3A4B71B0864E6B0966E564104DCFFD7040C1D93,a6d819ecf964ea3d4962782536559c8251890bee,yes,19,exact_repository_path,frozen_gt_v1_1,FROZEN,yes,NO_EXACT_DUPLICATE_UNIQUE_OR_ROLE_SPECIFIC,LEAVE_IN_PLACE_FROZEN,Frozen GT contract and hash-controlled replay asset.,none_read_only,yes
