material_family,structure,geometry,pulse,seed,finite_result,activated,max_delta_T,delta_m,conductance_ratio,hysteresis_area,Vth,Vhold,Vth_gt_Vhold,energy_balance_error,current_convergence_error,used_coupled_yz_lateral_conduction,used_snse_low_k_high_sigma_prior,used_material_family_specific_kernel,used_independent_interface_map
generic,pcm_plus_electrodes,edge_hotspot,minor_loop,2026,True,True,27.258853067157702,0.5248471733920014,2.9016349521451636,2.239179049388085e-05,0.12450142092363842,0.013382423949654063,True,3.187881746146189e-13,1.4612161908906307e-16,True,True,True,True
generic,pcm_plus_electrodes,edge_hotspot,rc_oscillator,2026,True,True,24.837095459951342,0.5254775119085823,3.1085749550498054,1.7722663513125188e-05,0.10722685444815583,0.05772382260647356,True,2.2324639284781684e-13,0.0,True,True,True,True
generic,full_stack_with_SnSe_barrier,uniform_crossbar,activation_triangle,2026,True,True,13.680155794067218,0.32127738942582584,2.1344363660005365,9.409134182714635e-06,0.1516669863598825,0.0,True,7.49549262873543e-14,0.0,True,True,True,True
generic,full_stack_with_SnSe_barrier,uniform_crossbar,minor_loop,2026,True,True,9.080065531084529,0.11464775368193193,1.894208727281147,1.8759057831420223e-05,0.16233760523801571,0.0172158276746194,True,1.2399724789029802e-13,1.263593634124126e-16,True,True,True,True
generic,full_stack_with_SnSe_barrier,uniform_crossbar,rc_oscillator,2026,True,True,10.56062013316324,0.20984046843139584,2.051460194286787,1.3629920601732495e-05,0.16600577842721767,0.07961400072873022,True,8.703019936326384e-14,0.0,True,True,True,True
generic,full_stack_with_SnSe_barrier,localized_filament,activation_triangle,2026,True,True,14.327533448273869,0.351858747265318,2.317143265762006,1.1654603260295723e-05,0.16661490407091656,0.0,True,8.321576589868371e-14,0.0,True,True,True,True
generic,full_stack_with_SnSe_barrier,localized_filament,minor_loop,2026,True,True,10.62329653161629,0.15914074148893836,1.971846202433917,2.0737099875428123e-05,0.17568655807957548,0.01847928817218957,True,1.246668147539758e-13,1.150300424130314e-16,True,True,True,True
generic,full_stack_with_SnSe_barrier,localized_filament,rc_oscillator,2026,True,True,11.007741672272118,0.23011354296325573,2.1965176212920494,1.5905381164653925e-05,0.17983805460192945,0.08339602152009225,True,8.569794589752719e-14,0.0,True,True,True,True
generic,full_stack_with_SnSe_barrier,edge_hotspot,activation_triangle,2026,True,True,15.285122336899065,0.39961138507238714,2.494950077047205,1.3388259621084382e-05,0.19011920682867542,0.0,True,8.09621586643229e-14,0.0,True,True,True,True
generic,full_stack_with_SnSe_barrier,edge_hotspot,minor_loop,2026,True,True,12.350935536366649,0.21077600084314055,2.0738303867767716,2.265085521406012e-05,0.1890028601214459,0.01916356092596492,True,1.274276516231156e-13,1.3639055333557499e-16,True,True,True,True
generic,full_stack_with_SnSe_barrier,edge_hotspot,rc_oscillator,2026,True,True,12.301236017496137,0.27624560770998047,2.3485258537722173,1.799872390692445e-05,0.17490139649355224,0.08515582358638044,True,8.655851538097955e-14,0.0,True,True,True,True
