protocol,scenario,noise,seed,observation_count,gamma_true,gamma_est,relative_error,recoverable_le_0p1,recoverable_le_0p2,failure_flag,finite_result,source
triangle,nominal_fixed_prior,0.02,2031,32,450000000.0,463470034.1407764,0.02993340920172542,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2032,32,450000000.0,462657867.54456735,0.02812859454348308,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2033,32,450000000.0,463316223.8143033,0.029591608476229523,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2034,32,450000000.0,463571696.4963237,0.030159325547385953,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.02,2035,32,450000000.0,463270978.6791375,0.029491063731416665,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2026,32,450000000.0,468841179.3252249,0.04186928738938875,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2027,32,450000000.0,468860342.39459205,0.04191187198798228,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2028,32,450000000.0,470269488.7545397,0.04504330834342173,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2029,32,450000000.0,469670683.4947041,0.04371262998823142,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2030,32,450000000.0,469552931.6219083,0.0434509591597962,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2031,32,450000000.0,469667486.51735455,0.04370552559412129,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2032,32,450000000.0,471117224.0282457,0.04692716450721277,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2033,32,450000000.0,468172391.68729895,0.040383092638442086,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2034,32,450000000.0,469779769.1185935,0.04395504248576324,True,True,False,True,seeded_response_surface_bootstrap
triangle,nominal_fixed_prior,0.05,2035,32,450000000.0,469825520.176428,0.04405671150317329,True,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2026,32,450000000.0,520327676.3554853,0.15628372523441184,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2027,32,450000000.0,520526997.46505594,0.1567266610334576,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2028,32,450000000.0,518391688.2028891,0.1519815293397535,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2029,32,450000000.0,519946385.8995948,0.15543641311021064,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2030,32,450000000.0,522286017.04360056,0.16063559343022354,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2031,32,450000000.0,520610490.9492793,0.1569122021095095,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2032,32,450000000.0,519946314.05634284,0.1554362534585397,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2033,32,450000000.0,517580598.4720438,0.15017910771565288,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2034,32,450000000.0,519292126.5362444,0.1539825034138764,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.0,2035,32,450000000.0,521009818.10936874,0.15779959579859723,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2026,32,450000000.0,522417488.8606855,0.16092775302374554,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2027,32,450000000.0,521646971.9363945,0.15921549319198786,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2028,32,450000000.0,520291255.39532155,0.1562027897673812,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2029,32,450000000.0,523961534.75554395,0.16435896612343096,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2030,32,450000000.0,521645604.0182242,0.15921245337383147,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2031,32,450000000.0,518916286.11163783,0.1531473024703063,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2032,32,450000000.0,522222579.2843445,0.1604946206318767,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2033,32,450000000.0,521075311.3826941,0.1579451364059869,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2034,32,450000000.0,521450682.0061516,0.15877929334700364,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.01,2035,32,450000000.0,523250119.8444235,0.1627780440987188,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2026,32,450000000.0,524104300.27971315,0.1646762228438069,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2027,32,450000000.0,523008026.0144653,0.1622400578099228,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2028,32,450000000.0,521756946.3601145,0.15945988080025453,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2029,32,450000000.0,524766046.36335355,0.16614676969634126,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2030,32,450000000.0,520722974.0005143,0.15716216444558728,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2031,32,450000000.0,521445442.52001387,0.15876765004447535,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2032,32,450000000.0,524619516.8145736,0.16582114847683024,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2033,32,450000000.0,523039275.5945001,0.16230950132111144,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2034,32,450000000.0,527690100.55259675,0.1726446678946594,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.02,2035,32,450000000.0,522406658.37548375,0.16090368527885282,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2026,32,450000000.0,525320739.6583243,0.167379421462943,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2027,32,450000000.0,527056839.39956856,0.1712374208879301,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2028,32,450000000.0,521608450.63593924,0.1591298903020872,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2029,32,450000000.0,532643093.42630166,0.18365131872511475,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2030,32,450000000.0,529374928.6070731,0.17638873023794038,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2031,32,450000000.0,532199314.7514111,0.1826651438920247,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2032,32,450000000.0,526218437.6786998,0.16937430595266617,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2033,32,450000000.0,528586296.3161134,0.17463621403580745,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2034,32,450000000.0,526823699.2902479,0.1707193317561064,False,True,False,True,seeded_response_surface_bootstrap
triangle,narrow_T_sw_prior,0.05,2035,32,450000000.0,529835389.4935066,0.1774119766522368,False,True,False,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2026,32,450000000.0,834381128.3656714,0.8541802852570475,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2027,32,450000000.0,836000374.1923509,0.8577786093163353,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2028,32,450000000.0,843762655.0633273,0.8750281223629497,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2029,32,450000000.0,840901404.460112,0.8686697876891378,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2030,32,450000000.0,837036334.9351997,0.8600807443004439,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2031,32,450000000.0,832625477.179476,0.8502788381766134,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2032,32,450000000.0,843234483.6011522,0.8738544080025603,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2033,32,450000000.0,828980061.8090906,0.8421779151313123,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2034,32,450000000.0,831527226.4611726,0.8478382810248279,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.0,2035,32,450000000.0,842717873.0125048,0.8727063844722329,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2026,32,450000000.0,844440073.8527578,0.876533497450573,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2027,32,450000000.0,865346426.428817,0.9229920587307044,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2028,32,450000000.0,841596337.7961217,0.8702140839913816,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2029,32,450000000.0,845448904.5924555,0.8787753435387898,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2030,32,450000000.0,847598895.564291,0.8835531012539798,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2031,32,450000000.0,846747454.7163328,0.8816610104807397,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2032,32,450000000.0,850543728.310403,0.8900971740231178,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2033,32,450000000.0,834503657.2177904,0.8544525715950897,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2034,32,450000000.0,840473777.1926196,0.867719504872488,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.01,2035,32,450000000.0,839240519.7481427,0.8649789327736505,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2026,32,450000000.0,863989065.3900523,0.9199757008667828,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2027,32,450000000.0,850741114.4145199,0.8905358098100442,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2028,32,450000000.0,846189406.7166711,0.8804209038148246,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2029,32,450000000.0,855849034.5240413,0.9018867433867584,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2030,32,450000000.0,849220494.3890859,0.8871566541979689,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2031,32,450000000.0,868917013.0038091,0.9309266955640203,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2032,32,450000000.0,846505053.6867255,0.8811223415260566,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2033,32,450000000.0,850416554.1008441,0.8898145646685426,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2034,32,450000000.0,863829663.1355761,0.9196214736346136,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.02,2035,32,450000000.0,864345734.5408367,0.9207682989796371,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2026,32,450000000.0,846221638.2302868,0.8804925294006373,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2027,32,450000000.0,871913524.5969923,0.9375856102155382,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2028,32,450000000.0,862912551.4127275,0.9175834475838388,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2029,32,450000000.0,869684926.2204552,0.9326331693787893,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2030,32,450000000.0,857498877.5848521,0.9055530612996715,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2031,32,450000000.0,870891744.9943944,0.935314988876432,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2032,32,450000000.0,871950259.3482968,0.9376672429962148,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2033,32,450000000.0,856393142.3747631,0.9030958719439178,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2034,32,450000000.0,888008483.8554589,0.9733521863454642,False,False,True,True,seeded_response_surface_bootstrap
triangle,wide_T_sw_mismatch,0.05,2035,32,450000000.0,891422615.2107638,0.9809391449128084,False,False,True,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2026,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2027,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2028,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2029,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2030,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2031,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2032,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2033,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2034,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.0,2035,32,450000000.0,450000000.0,0.0,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2026,32,450000000.0,455951276.2984971,0.013225058441104744,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2027,32,450000000.0,456117126.14417833,0.013593613653729488,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2028,32,450000000.0,456123507.242155,0.013607793871455508,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2029,32,450000000.0,455895905.0901284,0.013102011311396513,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2030,32,450000000.0,455872515.9600005,0.013050035466667725,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2031,32,450000000.0,456137146.6684817,0.013638103707737003,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2032,32,450000000.0,455895845.5380866,0.013101878973525771,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2033,32,450000000.0,455970262.5750226,0.0132672501667169,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2034,32,450000000.0,455736720.14757305,0.012748266994606756,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.01,2035,32,450000000.0,456209714.5272148,0.013799365616032927,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2026,32,450000000.0,462405129.1556627,0.027566953679250338,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2027,32,450000000.0,462701384.49270993,0.0282252988726887,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2028,32,450000000.0,462074038.7041157,0.02683119712025705,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2029,32,450000000.0,462322407.986097,0.02738312885799333,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2030,32,450000000.0,462137525.76769954,0.026972279483776732,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2031,32,450000000.0,462453427.79052913,0.027674283978953686,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2032,32,450000000.0,461702556.78648686,0.026005681747748505,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2033,32,450000000.0,462311225.79058224,0.027358279534627293,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2034,32,450000000.0,462547417.5154691,0.02788315003437569,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.02,2035,32,450000000.0,462269395.3825988,0.02726532307244182,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2026,32,450000000.0,467419203.5270948,0.03870934117132168,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2027,32,450000000.0,467436920.32707566,0.03874871183794589,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2028,32,450000000.0,468739716.0183481,0.0416438133741069,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2029,32,450000000.0,468186103.60831136,0.040413563574025285,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2030,32,450000000.0,468077238.66931146,0.04017164148735876,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2031,32,450000000.0,468183147.91227126,0.040406995360602715,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2032,32,450000000.0,469523471.271397,0.043385491714215595,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2033,32,450000000.0,466800890.42788017,0.0373353120619559,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2034,32,450000000.0,468286956.35492605,0.04063768078872452,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,nominal_fixed_prior,0.05,2035,32,450000000.0,468329254.50273526,0.04073167667274513,True,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2026,32,450000000.0,515019927.1965808,0.14448872710351285,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2027,32,450000000.0,515204205.2035423,0.1448982337856495,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2028,32,450000000.0,513230051.357388,0.14051122523864007,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2029,32,450000000.0,514667413.3788707,0.14370536306415704,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2030,32,450000000.0,516830468.58747977,0.1485121524166218,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2031,32,450000000.0,515281397.2927299,0.14506977176162206,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2032,32,450000000.0,514667346.9577509,0.1437052154616688,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2033,32,450000000.0,512480175.94585186,0.13884483543522627,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2034,32,450000000.0,514062532.08067876,0.1423611824015084,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.0,2035,32,450000000.0,515650586.55394477,0.14589019234209935,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2026,32,450000000.0,516952018.0032752,0.14878226222950064,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2027,32,450000000.0,516239653.29968554,0.14719922955485673,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2028,32,450000000.0,514986254.98812747,0.14441389997361662,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2029,32,450000000.0,518379532.132484,0.1519545158499645,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2030,32,450000000.0,516238388.6206224,0.14719641915693854,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2031,32,450000000.0,513715056.97113687,0.1415890154914153,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2032,32,450000000.0,516771818.58363926,0.14838181907475395,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2033,32,450000000.0,515711136.9387172,0.1460247487527049,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2034,32,450000000.0,516058177.70380056,0.1467959504528902,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.01,2035,32,450000000.0,517721808.9127689,0.15049290869504192,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2026,32,450000000.0,518511522.9001121,0.15224782866691586,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2027,32,450000000.0,517497986.3152603,0.14999552514502298,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2028,32,450000000.0,516341327.7668984,0.14742517281532969,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2029,32,450000000.0,519123325.8831005,0.1536073908513344,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2030,32,450000000.0,515385391.0570792,0.14530086901573167,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2031,32,450000000.0,516053333.6505789,0.14678518589017536,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2032,32,450000000.0,518987855.16819066,0.15330634481820157,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2033,32,450000000.0,517526877.4364247,0.15005972763649927,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2034,32,450000000.0,521826696.73730636,0.15961488163845872,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.02,2035,32,450000000.0,516942004.91318315,0.14876001091818472,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.05,2026,32,450000000.0,519636155.53316784,0.15474701229592847,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.05,2027,32,450000000.0,521241228.87884635,0.158313841952992,False,True,False,True,seeded_response_surface_bootstrap
ltp_ltd,narrow_T_sw_prior,0.05,2028,32,450000000.0,516204039.26718915,0.14712008726042028,False,True,False,True,seeded_response_surface_bootstrap
